source,managing_agency,name,park_name,trailhead_name,trailhead_address,trailhead_city,trailhead_state,difficulty,length,hike_time,dogs,horses,bikes,access,trail_description,print_map_url
MPSSC,"Metro Parks, Serving Summit County",Willow,Firestone,,,,OH,Easy,1.6,,Yes,No,No,No,"Willow Trail passes the Tuscarawas Race, Tuscarawas River and Little Turtle Pond, where young anglers 15 and under can fish.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FirestoneMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Daffodill,Furnace Run,,,,OH,Easy,0.6,,Yes,No,No,No,"An estimated 40,000 daffodils – including dozens of varieties – bloom each spring along the H.S. Wagner Daffodil Trail, named for the park district's first director-secretary, who planted the first bulbs here in the late 1930s. Peak bloom is typically mid-April.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FurnaceRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Old Mill,Furnace Run,,,,OH,Easy,1,,Yes,No,No,No,"The trail takes hikers through beech-maple woods. Be sure to look for the Brush Family marker, which reads: ""To all those who love as he loved the far sky and smiling land.""",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FurnaceRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Rock Creek,Furnace Run,,,,OH,Easy,1.2,,Yes,No,NO,No,"The picturesque Rock Creek Trail leads hikers on a shaded, basic trail through beautiful beech-maple woods.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FurnaceRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Alder,Goodyear Heights,,,,OH,Easy,1.4,,Yes,No,No,Yes,"Alder Trail leads through the woods to Alder Pond, where a cattail marsh provides good wildlife habitat. At the start of the trail, a short (half-mile, round trip) section earns Class B status and is good for users with wheelchairs, walkers, canes and strollers.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GoodyearHeightsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Parcours,Goodyear Heights,,,,OH,Difficult,1.8,,Yes,No,No,No,"For a good workout, try this challenging hiking trail with numbered exercise stations.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GoodyearHeightsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Piney Woods,Goodyear Heights,,,,OH,Moderate,2,,Yes,No,No,No,"Although this trail is named for the many pines once planted in the park, they are giving way to a variety of other species through natural succession, including black cherries, oaks and tuliptrees.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GoodyearHeightsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Glens,Gorge,,,,OH,Moderate,1.8,,Yes,No,No,No,"Glens Trail, on the opposite side of Front Street, provides views from the edge of the Cuyahoga River. Springs flow from the ledges along this trail, providing water needed for liverwort.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Gorge,Gorge,,,,OH,Difficult,1.8,,Yes,No,No,yes,"Gorge Trail provides access to Mary Campbell Cave, an easy half-mile walk from the parking lot. At the start of the trail, a short (half-mile, round trip) section earns Class B status and is good for users with wheelchairs, walkers, canes and strollers. The trail quickly becomes more rugged as it passes through stunning rock-ledge formations. An upper section of the trail is even considered ""primitive,"" earning Class D status.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Highbridge,Gorge,,,,OH,Moderate,3.2,,Yes,No,No,No,"Highbridge Trail offers a moderately challenging hike on the other side of the Cuyahoga than the Glens and Gorge trails, and it connects to Cascade Valley / South.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Adam Run,Hampton Hills,,,,OH,Difficult,3.2,,Yes,No,No,No,One of the park district's most demanding hikes; forms a sort of figure eight with Spring Hollow Trail. Travels through ravines and over streams.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/HamptonHillsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Spring Hollow,Hampton Hills,,,,OH,Difficult,1.6,,Yes,No,No,No,One of the park district's most demanding hikes; forms a sort of figure eight with Adam Run Trail. Travels through ravines and over streams and includes a 30-foot bridge.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/HamptonHillsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Buttonbush,Liberty Park,,,,OH,Easy,1.6,,Yes,No,No,No,"Located in the conservation area, the trail follows an old service road, where vehicles once traveled to and from oil wells, last used in 2003. Today, you'll walk between two large buttonbush swamps. The trail's namesake, the buttonbush, is a flowering shrub that grows in shallow water about one to two feet deep.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/LibertyPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Ledges,Liberty Park,,,,OH,Moderate,1.1,,Yes,No,No,No,"Visitors pass by a unique system of sandstone ledges, into Glacier Cave and to a wetland before traveling back to the trailhead over a long boardwalk. The ledges are covered by a ""living skin."" Ferns, mosses and lichens grow here, and endangered bats and other species live in the area. For the protection of natural resources, please stay on the trail.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/LibertyPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Sugarbush,Liberty Park,,,,OH,Easy,0.6,,yes,No,No,No,"Sugarbush Trail loops through the city-run recreation area. The distance measured does not include the walk around the ballfield to the trailhead. For more information, please call the city of Twinsburg's Parks & Recreation Department at 330-963-8722.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/LibertyPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Indian Spring,Munroe Falls,,,,OH,Moderate,2.2,,yes,No,No,No,"Inside the Lake Area, Indian Spring Trail loops through two types of forests and near wetlands, ponds, a stream and the trail's namesake, an old spring.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Meadow Loop,Munroe Falls,,,,OH,Easy,0.35,,yes,No,No,Yes,"The short Meadow Loop is a flat, easy trail in the Tallmadge Meadows Area that can be enjoyed by users with wheelchairs, walkers, canes and strollers.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Meadow,Munroe Falls,,,,OH,Easy,2,,yes,No,No,No,"From the parking lot of the Tallmadge Meadows Area, the Meadow Trail passes by the County Home cemetery and travels through woods, a shrub thicket, wetland woods and its namesake meadow. Several boardwalks help visitors traverse the wet areas.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/MunroeFallsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Buckeye,O'Neil Woods,,,,OH,Difficult,,,Yes,No,No,No,"This statewide trail circles from the Ohio River (near Cincinnati) to Lake Erie (near Mentor), west to Toledo and then back to the Ohio River. Here in Summit County, the trail passes through Deep Lock Quarry, O'Neil Woods, Sand Run and Cuyahoga Valley National Park. ""Follow the blue blazes"" for the Buckeye Trail.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/ONeilWoodsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Deer Run,O'Neil Woods,,,,OH,Difficult,1.8,,Yes,No,No,No,"The challenging, and aptly-named, Deer Run Trail follows a path worn by white-tailed deer and provides scenic views of the Cuyahoga River Valley. How many steps do you count on the hike back to the top?",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/ONeilWoodsMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Buckeye,Sand Run,,,,OH,Difficult,,,Yes,No,No,No,"This statewide trail circles from the Ohio River (near Cincinnati) to Lake Erie (near Mentor), west to Toledo and then back to the Ohio River. Here in Summit County, the trail passes through Deep Lock Quarry, O'Neil Woods, Sand Run and Cuyahoga Valley National Park. ""Follow the blue blazes"" for the Buckeye Trail.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Dogwood,Sand Run,,,,OH,Difficult,1.8,,Yes,No,No,No,Explore shady valley and ridge-top terrain along the wooded and challenging Dogwood Trail.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Jogging,Sand Run,,,,OH,Moderate,6,,Yes,No,No,Yes,"The Parkway Jogging Trail is the most popular in the park district, averaging more than 1,000 users a day, year-round. At the start of the trail, from the Old Portage Area, a one-mile (round trip) section earns Class B status and is good for users with wheelchairs, walkers, canes and strollers.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Mingo,Sand Run,,,,OH,Difficult,3.3,,Yes,No,No,No,"The wooded Mingo Trail harbors a variety of wildlife and oak, beech and tulip trees. West of Shady Hollow Pavilion, the trail becomes quite rugged, earning Class D status.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Parcours,Sand Run,,,,OH,Difficult,1.4,,Yes,No,No,No,"For a good workout, try this challenging hiking trail with numbered exercise stations.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Valley Link,Sand Run,,,,OH,Moderate,2.8,,Yes,No,No,No,The Valley Link Trail connects to the Schumacher Valley Area of Cascade Valley / North.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Prairie,Springfield Bog,,,,OH,Easy,1.6,,yes,No,No,No,"Though the prairie will take years to fully develop, the easy Prairie Trail leads visitors from the parking lot into what could become a birding hotspot in just a few years.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SpringfieldBogMetroPark-2013.pdf
